site,succession,plot,plot.unq,n.treat,weevil,block,open_under,tag,weight.pre,weight.post,mass.loss,per.mass.lost,d13c_mean,perC_mean,d15n_mean,perN_mean,C.N_mean,d13c_std.error,perC_std.error,d15n_std.error,perN_std.error,C.N_std.error
east,Primary,1,1,0,NW,1,under,2951,3,2.3,0.7,23.33333333,-28.70666667,51.95333333,-2.09,1.42,37.15289405,0.021858128,1.882660647,0.035118846,0.125830574,3.547825138
east,Primary,1,1,0,NW,1,under,2953,3,2.3,0.7,23.33333333,-28.70666667,51.95333333,-2.09,1.42,37.15289405,0.021858128,1.882660647,0.035118846,0.125830574,3.547825138
east,Primary,1,1,0,NW,1,open,2954,3,1.5,1.5,50,-28.70666667,51.95333333,-2.09,1.42,37.15289405,0.021858128,1.882660647,0.035118846,0.125830574,3.547825138
east,Primary,1,1,0,NW,1,open,2955,3,2.9,0.1,3.333333333,-28.70666667,51.95333333,-2.09,1.42,37.15289405,0.021858128,1.882660647,0.035118846,0.125830574,3.547825138
east,Primary,1,1,0,NW,1,open,2956,3,2.2,0.8,26.66666667,-28.70666667,51.95333333,-2.09,1.42,37.15289405,0.021858128,1.882660647,0.035118846,0.125830574,3.547825138
east,Primary,1,1,0,NW,1,open,2957,3,2.2,0.8,26.66666667,-28.70666667,51.95333333,-2.09,1.42,37.15289405,0.021858128,1.882660647,0.035118846,0.125830574,3.547825138
east,Primary,1,1,0,NW,1,open,2958,3,2,1,33.33333333,-28.70666667,51.95333333,-2.09,1.42,37.15289405,0.021858128,1.882660647,0.035118846,0.125830574,3.547825138
east,Primary,2,2,8,NW,1,under,2959,3,2.4,0.6,20,-27.5,56.76666667,-3.266666667,2.076666667,27.33723157,0.037859389,0.063595947,0.014529663,0.012018504,0.154975692
east,Primary,2,2,8,NW,1,open,2961,3,2.2,0.8,26.66666667,-27.5,56.76666667,-3.266666667,2.076666667,27.33723157,0.037859389,0.063595947,0.014529663,0.012018504,0.154975692
east,Primary,2,2,8,NW,1,open,2962,3,1.8,1.2,40,-27.5,56.76666667,-3.266666667,2.076666667,27.33723157,0.037859389,0.063595947,0.014529663,0.012018504,0.154975692
east,Primary,2,2,8,NW,1,open,2965,3,2.1,0.9,30,-27.5,56.76666667,-3.266666667,2.076666667,27.33723157,0.037859389,0.063595947,0.014529663,0.012018504,0.154975692
east,Primary,2,2,8,NW,1,open,2966,3,2.2,0.8,26.66666667,-27.5,56.76666667,-3.266666667,2.076666667,27.33723157,0.037859389,0.063595947,0.014529663,0.012018504,0.154975692
east,Primary,3,3,16,NW,1,under,2967,3,2.2,0.8,26.66666667,-27.94333333,48.68666667,-1.423333333,1.506666667,32.50495887,0.017638342,0.90694236,0.121700908,0.095277373,1.542756967
east,Primary,3,3,16,NW,1,under,2969,3,1.5,1.5,50,-27.94333333,48.68666667,-1.423333333,1.506666667,32.50495887,0.017638342,0.90694236,0.121700908,0.095277373,1.542756967
east,Primary,3,3,16,NW,1,open,2971,3,2.4,0.6,20,-27.94333333,48.68666667,-1.423333333,1.506666667,32.50495887,0.017638342,0.90694236,0.121700908,0.095277373,1.542756967
