site,plot,plot.unq,replicate,n.treat,n.treat.dummy,n.treat.cat,weevil,weevil.dummy,block,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowarea,otherarea,totalstemarea
1,1,1,a,0,0,control,NW,0,1,-28.46,10.3,-0.31,0.307796497,5.28766481,0.327668481,0.013219162,0.000819171,1.924,0.0625,0.0255,5.72,7.38,1.39,1.268,154.6,348.7953244,426.3,5,4,9,568.6083997,123.1484685,691.7568683
1,1,1,b,0,0,control,NW,0,1,-28.36,12.8,-0.59,0.301201166,3.850385625,0.295638875,0.009625964,0.000739097,1.924,0.0625,0.0255,5.72,7.38,1.39,1.268,154.6,348.7953244,426.3,5,4,9,568.6083997,123.1484685,691.7568683
1,1,1,c,0,0,control,NW,0,1,-28.3,13.9,-0.2,0.293397849,8.453371852,0.533568642,0.02113343,0.001333922,1.924,0.0625,0.0255,5.72,7.38,1.39,1.268,154.6,348.7953244,426.3,5,4,9,568.6083997,123.1484685,691.7568683
1,5,5,a,0,0,control,W,1,1,-27.96,9.3,-1.45,0.863388076,3.969998182,0.30501697,0.009924995,0.000762542,1.8125,0.0255,0.0085,5.94,12.86,1.47,1.327,161.9,185.5503161,65.5,5,2,7,65.46105196,6.271404335,71.7324563
1,5,5,b,0,0,control,W,1,1,-28.08,8.3,-1.54,0.808523364,4.0832853,0.3210477,0.010208213,0.000802619,1.8125,0.0255,0.0085,5.94,12.86,1.47,1.327,161.9,185.5503161,65.5,5,2,7,65.46105196,6.271404335,71.7324563
1,5,5,c,0,0,control,W,1,1,-28.09,7.3,-1.51,0.80432,5.216379091,0.391873737,0.013040948,0.000979684,1.8125,0.0255,0.0085,5.94,12.86,1.47,1.327,161.9,185.5503161,65.5,5,2,7,65.46105196,6.271404335,71.7324563
1,10,10,a,0,0,control,W,1,2,-28.34,3.2,-0.07,0.259746171,3.3590622,0.2580559,0.008397656,0.00064514,0.9915,0.03275,0.0081,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405
1,10,10,b,0,0,control,W,1,2,-28.45,3.6,-0.39,0.219037182,3.9221715,0.2980513,0.009805429,0.000745128,0.9915,0.03275,0.0081,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405
1,10,10,c,0,0,control,W,1,2,-28.55,3.9,-0.46,0.253485714,3.135393711,0.245223918,0.007838484,0.00061306,0.9915,0.03275,0.0081,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405
1,11,11,a,0,0,control,NW,0,2,-28.37,5.3,-0.59,0.335216461,2.698055185,0.207170864,0.006745138,0.000517927,2.251111111,0.076111111,0.065333333,5.49,9.27,1.47,1.289,183.2,264.0979864,546.4,4,0,4,546.414854,0,546.414854
